name,servings,ingredients & quantities,calories,protein,diet,flavor,instructions
Oatmeal with Banana,1,"½ cup rolled oats, 1 cup 2% milk, 1 medium banana, 1 tsp honey",250,6,vegetarian,sweet,Cook oats with milk. Top with sliced banana and drizzle of honey.
Greek Yogurt with Berries,1,"¾ cup plain Greek yogurt, ½ cup mixed berries, 1 tsp honey",200,12,"high-protein, vegetarian",sweet,"Scoop yogurt into a bowl, top with berries and honey."
Avocado Toast with Egg,1,"1 slice whole grain bread, ½ avocado, 1 large egg, pinch salt",300,10,keto,savory,"Toast bread, mash avocado on top, and add a fried or poached egg."
Smoothie Bowl,1,"1 cup frozen mixed berries, ½ banana, ½ cup Greek yogurt, ¼ cup granola, 1 tsp chia seeds",320,8,vegetarian,sweet,Blend berries and yogurt. Pour into bowl and top with granola and chia.
Tofu Scramble,1,"½ cup firm tofu, ½ cup spinach, ¼ cup chopped bell pepper, 1 tbsp chopped onion, ½ tsp turmeric",270,14,"vegan, high-protein",savory,"Sauté chopped veggies, crumble tofu in, cook until golden."
Almond Butter Banana Wrap,1,"1 whole wheat tortilla, 1 tbsp almond butter, 1 small banana",290,9,vegetarian,sweet,"Spread almond butter on tortilla, place banana, roll up and slice."
Chia Pudding,1,"3 tbsp chia seeds, ¾ cup almond milk, 1 tsp maple syrup",220,7,vegan,sweet,Mix ingredients and refrigerate overnight. Top with fruit to serve.
Cottage Cheese Bowl,1,"½ cup low-fat cottage cheese, ½ cup pineapple chunks, 1 tbsp chopped walnuts",240,13,"high-protein, vegetarian",sweet,Mix cottage cheese with pineapple chunks and top with walnuts.
Peanut Butter Apple Slices,1,"1 medium apple, 1 tbsp peanut butter, 1 tbsp granola",180,6,vegetarian,sweet,"Slice apple, spread with peanut butter, sprinkle granola."
Quinoa Breakfast Bowl,1,"½ cup cooked quinoa, ½ cup almond milk, 1 tsp cinnamon, ¼ cup blueberries",260,9,gluten-free,sweet,"Cook quinoa, mix with almond milk, top with cinnamon and berries."
Overnight Oats,1,"½ cup oats, ½ cup yogurt, ½ cup milk, ¼ cup sliced strawberries",280,10,"vegetarian, gluten-free",sweet,"Mix all ingredients in jar, chill overnight, stir before serving."
Veggie Egg Muffins,1,"2 eggs, ¼ cup chopped spinach, ¼ cup chopped tomato, 2 tbsp shredded cheese",230,12,"keto, high-protein",savory,"Whisk ingredients, pour into muffin tin, bake at 350°F for 20 mins."
Berry Parfait,1,"½ cup yogurt, ½ cup mixed berries, ¼ cup granola",250,11,"gluten-free, vegetarian",sweet,"Layer yogurt, berries, and granola in a glass."
Sweet Potato Hash,1,"½ cup diced sweet potato, ¼ cup chopped kale, 2 tbsp chopped onion, 1 egg",330,12,vegetarian,savory,"Sauté sweet potato cubes, kale, and onion. Top with fried egg."
Banana Protein Pancakes,1,"1 banana, 2 eggs, 1 scoop vanilla protein powder",310,18,high-protein,sweet,"Mash banana, mix with eggs and protein powder, cook on skillet."
Ricotta Toast with Honey & Figs,1,"1 slice whole grain bread, ¼ cup ricotta cheese, 2 sliced figs, 1 tsp honey",320,11,vegetarian,sweet,"Toast bread. Spread ricotta, top with sliced figs, and drizzle honey."
Breakfast Tacos,1,"2 corn tortillas, 2 eggs, ½ avocado, 2 tbsp salsa",340,14,gluten-free,savory,"Scramble eggs. Fill tortillas with eggs, avocado slices, and salsa."
Matcha Yogurt Bowl,1,"¾ cup Greek yogurt, 1 tsp matcha powder, 1 kiwi, 1 tsp coconut flakes",270,12,"high-protein, gluten-free, vegetarian",sweet,Mix matcha into yogurt. Top with sliced kiwi and sprinkle coconut flakes.
Apple Cinnamon Quinoa,1,"½ cup cooked quinoa, ½ apple chopped, 1 tsp cinnamon, ½ cup almond milk",290,8,vegan,sweet,Warm quinoa in almond milk. Stir in apple and cinnamon. Serve warm.
Savory Cottage Cheese Toast,1,"1 slice bread, ¼ cup cottage cheese, 2 slices tomato, 1 tbsp chopped basil",280,16,high-protein,savory,Toast bread. Spread with cottage cheese. Top with tomato slices and fresh basil.
Avocado Chickpea Mash Toast,1,"1 slice bread, ¼ avocado, ¼ cup mashed chickpeas, 1 tsp lemon juice",330,10,vegan,savory,Mash avocado and chickpeas with lemon juice. Spread on toast. Optional: top with chili flakes.
Strawberry Tahini Smoothie,1,"1 cup strawberries, 1 tbsp tahini, ½ banana, ¾ cup almond milk",300,7,vegan,sweet,Blend all ingredients until smooth. Serve cold. Optional: add a dash of cinnamon.
Mango Chia Parfait,1,"¼ cup chia pudding, ½ cup chopped mango, ¼ cup granola",310,9,"vegetarian, gluten-free",sweet,"Layer chia pudding, mango, and granola in a jar or cup. Serve chilled."
Baked Oat Cups,1,"1 cup oats, 1 banana, 1 egg, ¼ cup blueberries",260,9,gluten-free,sweet,Mix all ingredients. Spoon into muffin tin. Bake at 350°F for 20 mins. Makes 2 servings.
Savory Breakfast Bowl,1,"½ cup roasted sweet potato, ¼ cup black beans, 1 egg, ¼ avocado",370,15,gluten-free,savory,"Layer roasted sweet potato, beans, and fried egg in a bowl. Add sliced avocado and enjoy warm."
Cinnamon Pear Toast,1,"1 slice whole grain bread, 1 tbsp almond butter, ½ pear sliced, ¼ tsp cinnamon",290,8,vegetarian,savory,"Toast bread. Spread almond butter, top with pear slices, and sprinkle cinnamon."
Tofu Breakfast Wrap,1,"½ cup crumbled tofu, ¼ cup spinach, 1 tbsp hummus, 1 whole wheat tortilla",330,14,vegan,savory,Sauté tofu and spinach. Spread hummus on tortilla. Add filling and wrap tightly.
Warm Berry Millet Porridge,1,"½ cup cooked millet, ½ cup mixed berries, 1 tsp maple syrup, ½ cup almond milk",280,16,vegan,sweet,Warm millet with almond milk. Stir in berries and maple syrup. Serve hot.
Pumpkin Protein Smoothie,1,"½ cup pumpkin puree, ½ cup Greek yogurt, 1 scoop protein powder, ½ tsp cinnamon",310,18,high-protein,sweet,Blend all ingredients with a splash of water or milk until smooth. Serve chilled.
Egg & Veggie Breakfast Quesadilla,1,"2 eggs, ¼ cup chopped bell peppers, ¼ cup spinach, ¼ cup shredded cheese, 1 tortilla",350,17,vegetarian,savory,Scramble eggs with veggies. Spread on half of tortilla with cheese. Fold and toast on both sides. Cut and serve.
Turkey Bacon & Egg Sandwich,1,"1 whole grain English muffin, 1 egg, 2 slices turkey bacon, 1 slice cheddar cheese",350,20,"meat, high-protein",savory,"Cook turkey bacon and egg. Toast English muffin. Layer egg, bacon, and cheese. Serve warm."
Chicken Sausage Scramble,1,"1 chicken sausage, 2 eggs, ¼ cup bell peppers, 1 tbsp olive oil",380,22,"meat, high-protein",savory,Slice and sauté sausage with bell peppers. Scramble eggs and cook together. Serve hot.
Ham & Swiss Omelette,1,"2 eggs, 2 slices ham, ¼ cup shredded Swiss cheese, salt & pepper",310,21,"meat, high-protein",savory,"Whisk eggs with salt and pepper. Pour into pan, cook, then add ham and cheese. Fold and serve."
Steak & Egg Breakfast Bowl,1,"3 oz grilled steak, 1 egg, ½ cup sweet potatoes, ¼ avocado",420,26,"meat, high-protein",savory,"Grill steak and set aside. Sauté sweet potatoes, top with fried egg and sliced avocado."
Smoked Salmon Bagel,1,"1 whole wheat bagel, 2 oz smoked salmon, 2 tbsp cream cheese, capers",390,17,"meat, high-protein",savory,Spread cream cheese on bagel. Add smoked salmon and capers. Serve chilled or at room temp.
Breakfast Chicken Wrap,1,"½ cup cooked chicken breast, 1 egg, 1 tortilla, 1 tbsp salsa",360,25,"meat, high-protein",savory,"Scramble egg. Warm tortilla and fill with chicken, egg, and salsa. Wrap and serve."
